id;color;fixed acidity;volatile acidity;citric acid;residual sugar;chlorides;free sulfur dioxide;total sulfur dioxide;density;pH;sulphates;alcohol;quality
0;white;6.4;0.13;0.47;1.6;0.092;40;158;0.9928;3.21;0.36;9.8;6
1;white;6.2;0.33;0.14;4.8;0.052;27;128;0.99475;3.21;0.48;9.4;5
2;white;6.3;0.32;0.32;1.5;0.03;24;101;0.98923;3.21;0.42;13;5
3;white;6.6;0.16;0.34;1.1;0.037;41;115;0.9899;3.01;0.68;12;6
4;white;6.3;0.26;0.42;7.1;0.045;62;209;0.99544;3.2;0.53;9.5;6
5;white;5.9;0.24;0.3;2;0.033;28;92;0.99225;3.39;0.69;10.9;7
6;red;10.2;0.41;0.43;2.2;0.11;11;37;0.99728;3.16;0.67;10.8;5
7;white;6.7;0.34;0.31;16.4;0.051;20;146;0.99834;3.06;0.54;9.1;5
8;red;7;0.5;0.25;2;0.07;3;22;0.9963;3.25;0.63;9.2;5
9;white;7.4;0.27;0.31;2.4;0.014;15;143;0.99094;3.03;0.65;12;4
10;white;6.9;0.22;0.39;6;0.035;44;141;0.99123;3.11;0.33;12.5;6
11;white;6.4;0.23;0.32;1.9;0.038;40;118;0.99074;3.32;0.53;11.8;7
12;white;6.4;0.24;0.29;11.4;0.051;32;166;0.9968;3.31;0.45;9.5;5
13;red;8.3;0.31;0.39;2.4;0.078;17;43;0.99444;3.31;0.77;12.5;7
14;red;7.5;1.115;0.1;3.1;0.086;5;12;0.9958;3.54;0.6;11.2;4
15;red;8.5;0.585;0.18;2.1;0.078;5;30;0.9967;3.2;0.48;9.8;6
16;white;7.2;0.21;0.29;3.1;0.044;39;122;0.99143;3;0.6;11.3;6
17;white;6.2;0.29;0.29;5.6;0.046;35;178;0.99313;3.25;0.51;10.5333333333333;5
18;white;6.4;0.42;0.74;12.8;0.076;48;209;0.9978;3.12;0.58;9;6
19;red;6.8;0.56;0.03;1.7;0.084;18;35;0.9968;3.44;0.63;10;6
20;white;6.9;0.4;0.56;11.2;0.043;40;142;0.9975;3.14;0.46;8.7;5
21;white;6.5;0.36;0.16;1.3;0.054;11;107;0.99398;3.19;0.39;8.5;5
22;white;7.6;0.4;0.27;1.2;0.053;23;193;0.99164;3.22;0.38;11.6;5
23;white;7.6;0.2;0.3;14.2;0.056;53;212.5;0.999;3.14;0.46;8.9;8
24;white;6.5;0.36;0.31;13.55;0.053;20;113;0.99544;3.2;0.56;11;6
25;white;6.6;0.23;0.37;8.5;0.036;46;153;0.99576;3.2;0.48;9.4;6
26;white;6.6;0.28;0.3;7.8;0.049;57;202;0.9958;3.24;0.39;9.5;5
27;white;6.9;0.33;0.31;4.2;0.04;21;93;0.9896;3.18;0.48;13.4;7
28;red;8.5;0.32;0.42;2.3;0.075;12;19;0.99434;3.14;0.71;11.8;7
29;red;8.5;0.28;0.56;1.8;0.092;35;103;0.9969;3.3;0.75;10.5;7
30;white;6;0.17;0.33;6;0.036;30;111;0.99362;3.32;0.58;10.15;7
31;white;6.7;0.41;0.27;2.6;0.033;25;85;0.99086;3.05;0.34;11.7;6
32;white;6.8;0.29;0.34;3.5;0.054;26;189;0.99489;3.42;0.58;10.4;5
33;white;6.2;0.16;0.33;1.1;0.057;21;82;0.991;3.32;0.46;10.9;7
34;red;10.4;0.34;0.58;3.7;0.174;6;16;0.997;3.19;0.7;11.3;6
35;white;5.5;0.32;0.45;4.9;0.028;25;191;0.9922;3.51;0.49;11.5;7
36;red;10;0.35;0.47;2;0.061;6;11;0.99585;3.23;0.52;12;6
37;red;7.4;0.55;0.22;2.2;0.106;12;72;0.9959;3.05;0.63;9.2;5
38;white;7.1;0.38;0.42;11.8;0.041;32;193;0.99624;3.04;0.49;10;6
39;white;5.2;0.335;0.2;1.7;0.033;17;74;0.99002;3.34;0.48;12.3;6
40;white;6.7;0.42;0.46;9.7;0.054;67;234;0.99848;3.23;0.5;9;5
41;white;6;0.29;0.2;12.6;0.045;45;187;0.9972;3.33;0.42;9.5;5
42;white;6.5;0.16;0.33;1;0.027;23;75;0.9908;3.3;0.39;11.4;7
43;white;7.6;0.38;0.28;4.2;0.029;7;112;0.9906;3;0.41;12.6;6
44;red;8.9;0.595;0.41;7.9;0.086;30;109;0.9998;3.27;0.57;9.3;5
45;white;8.8;0.24;0.23;10.3;0.032;12;97;0.99571;3.13;0.4;10.7;6
46;white;5.3;0.16;0.39;1;0.028;40;101;0.99156;3.57;0.59;10.6;6
47;white;7.2;0.23;0.82;1.3;0.149;70;109;0.99304;2.93;0.42;9.2;6
48;white;7.1;0.25;0.32;10.3;0.041;66;272;0.9969;3.17;0.52;9.1;6
49;white;5;0.33;0.18;4.6;0.032;40;124;0.99114;3.18;0.4;11;6
50;white;6.8;0.22;0.3;10.6;0.07;67;194;0.99654;2.89;0.42;9;6
51;white;6.7;0.54;0.28;5.4;0.06;21;105;0.9949;3.27;0.37;9;5
52;red;11.9;0.38;0.49;2.7;0.098;12;42;1.0004;3.16;0.61;10.3;5
53;red;10.6;0.36;0.57;2.3;0.087;6;20;0.99676;3.14;0.72;11.1;7
54;red;8.2;1;0.09;2.3;0.065;7;37;0.99685;3.32;0.55;9;6
55;white;6.4;0.24;0.26;8.2;0.054;47;182;0.99538;3.12;0.5;9.5;5
56;white;8.1;0.34;0.28;7.5;0.04;70;230;0.99558;3.14;0.55;9.8;6
57;red;10.9;0.32;0.52;1.8;0.132;17;44;0.99734;3.28;0.77;11.5;6
58;white;7.4;0.4;0.29;5.4;0.044;31;122;0.994;3.3;0.5;11.1;8
59;white;6.4;0.22;0.34;1.4;0.023;56;115;0.98958;3.18;0.7;11.7;6
60;white;6.9;0.35;0.55;11.95;0.038;22;111;0.99687;3.11;0.29;9.7;5
61;red;11.1;0.35;0.48;3.1;0.09;5;21;0.9986;3.17;0.53;10.5;5
62;white;6.7;0.31;0.33;2;0.033;12;74;0.99064;3.29;0.65;12.5;6
63;white;7.4;0.16;0.27;15.5;0.05;25;135;0.9984;2.9;0.43;8.7;7
64;white;6.2;0.37;0.22;8.3;0.025;36;216;0.9964;3.33;0.6;9.6;6
65;white;6.4;0.25;0.3;5.5;0.038;15;129;0.9948;3.14;0.49;9.6;6
66;white;6.9;0.41;0.22;4.2;0.031;10;102;0.993;3;0.86;11.6;4
67;white;6.5;0.36;0.31;13.55;0.053;20;113;0.99544;3.2;0.56;11;6
68;white;7.6;0.19;0.38;10.6;0.06;48;174;0.9962;3.13;0.38;10.5;6
69;white;8.2;0.4;0.48;13.7;0.042;59;169;0.9986;3.1;0.52;9.4;5
70;white;6.6;0.37;0.07;1.4;0.048;58;144;0.9922;3.17;0.38;10;5
71;white;5.9;0.415;0.13;1.4;0.04;11;64;0.9922;3.29;0.52;10.5;5
72;white;7;0.22;0.28;1.5;0.037;29;115;0.9927;3.11;0.55;10.5;6
73;white;6;0.21;0.38;0.8;0.02;22;98;0.98941;3.26;0.32;11.8;6
74;white;7.3;0.25;0.27;3.8;0.047;16;79;0.99173;3.07;0.46;11.3;6
75;red;7.9;0.34;0.42;2;0.086;8;19;0.99546;3.35;0.6;11.4;6
